field_name,tag_key,tag_value
msisdn,dataprivacy,personal
a_number,dataprivacy,personal
b_number,dataprivacy,personal
retailer_msisdn,dataprivacy,personal
imsi,dataprivacy,personal
imei,dataprivacy,personal
first name,dataprivacy,personal
middle name,dataprivacy,personal
last name,dataprivacy,personal
customer name,dataprivacy,personal
customer account id,dataprivacy,personal
account id,dataprivacy,personal
address,dataprivacy,personal
email,dataprivacy,personal
birth date,dataprivacy,personal
tac,infoclass,restricted
lac,infoclass,restricted
ci,infoclass,restricted
enodebd,infoclass,restricted
eci_ci,infoclass,restricted
otp,infoclass,restricted
celliddec,infoclass,restricted
lacenodebci,infoclass,restricted
locationcode,infoclass,restricted
eutrancellid,infoclass,restricted
longitude,infoclass,restricted
latitude,infoclass,restricted
